pk_order_no,pk_order_item_no,order_type,order_type_gen_descr,order_category,sales_org,distr_channel,sold_to_party,ship_to_party,payer,material_no,storage_location,delivery_plant_code,order_doc_date,order_doc_time,order_doc_datetime,item_create_date,item_create_time,item_create_datetime,item_update_date,initial_req_del_date,cust_req_del_date,sys_cfm_del_date,cfm_material_avail_date,cfm_goods_issue_date,tgt_material_avail_date,tgt_goods_issue_date,tgt_del_date,planned_material_avail_date,planned_goods_issue_date,planned_del_date,downgrade_date,downgrade_time,pricing_date,overall_item_status,item_del_status,item_related_bill_status,overall_item_delivery_status,item_packing_status,item_goods_mvmt_status,item_del_related_bill_status,item_reject_status,item_type,item_category,sales_distr,document_currency,local_currency,product_attribute,material_entered,order_material_descr,cust_material_no,target_quantity,material_sold_sales_unit,base_unit_meas,cond_ref_unit_meas,parent_doc_no,parent_doc_item_no,price_list,price_group,cust_pricing_group,cond_pricing_unit,pricing_cond_subtotal_1,pricing_cond_subtotal_2,pricing_cond_subtotal_3,pricing_cond_subtotal_4,pricing_cond_subtotal_5,pricing_cond_subtotal_6,reject_reason,cust_po_item_no,shipping_point,del_route,wbs_element,incoterm,incoterm2,payment_term,cust_vendor_contact,item_create_by,is_bill_block_order_item,del_block_schedule_line,del_block_order,exchange_rate,net_value,net_price,item_qty,item_del_qty,item_bill_qty,item_goods_issue_qty,daily_exchange_rate,net_value_lc,net_value_gc,is_open_order,open_del_qty,order_qty_wo_del,open_order_qty,goods_issued_value,order_value_wo_del,order_value_wo_del_lc,order_value_wo_del_gc,billing_value,open_order_value,open_order_value_lc,open_order_value_gc,backorder_value_tgid,backorder_value_tgid_lc,backorder_value_tgid_gc,backorder_value_tmad,backorder_value_tmad_lc,backorder_value_tmad_gc,open_order_val_credit_blocked,open_order_val_credit_blocked_lc,open_order_val_credit_blocked_gc,open_order_val_del_header_blocked,open_order_val_del_header_blocked_lc,open_order_val_del_header_blocked_gc,open_order_val_del_item_blocked,open_order_val_del_item_blocked_lc,open_order_val_del_item_blocked_gc,open_order_val_bill_blocked,open_order_val_bill_blocked_lc,open_order_val_bill_blocked_gc,open_order_val_blocked,open_order_val_blocked_lc,open_order_val_blocked_gc,open_order_val_unblocked,open_order_val_unblocked_lc,open_order_val_unblocked_gc,backorder_value_unblocked,backorder_value_unblocked_lc,backorder_value_unblocked_gc,open_order_block_ind,open_order_del_block_header_ind,open_order_del_block_item_ind,open_order_bill_block_ind,is_backorder,distr_channel_pl,etl_load_time,erdat_pmonth
2001176815,000012,ZSO,Standard,C,CN20,G1,0118002371,0118402634,0118002371,0986AB8999KZ7,,66A1,20231220,154031,2023-12-20 15:40:31,20231220,154031,2023-12-20 15:40:31,00000000,20231220,20231220,20231227,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231227,00000000,,20231220,C,C,,C,,,,A,,ZSP,SCN13,CNY,CNY,,0986AB8999KZ7,Brake Fluid,,0,EA,EA,EA,,000000,,G1,CJ,1,83160.00,83160.00,83160.00,0.00,0.00,0.00,,000010,66A1,TNARN4,00000000,DAP,Delivered At Place,D780,,BCP,,"""""",,1.00000,0.00,0.00,3024.00,3024.00,0.00,0.00,-7.82310,0.00,0.00,Y,3024.00,0.00,3024.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176763,000210,ZSO,Standard,C,CN20,G1,0118004312,0118403472,0118004312,0986T149417CE,,66A1,20231220,133130,2023-12-20 13:31:30,20231220,133141,2023-12-20 13:31:41,00000000,20231220,20231220,20231226,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231226,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T14941,后刹车片,BR-BOSCH-SPECR|34,0,SET,SET,SET,,000000,,O4,QC,1,230.00,230.00,230.00,0.00,0.00,0.00,,000210,66A1,WNZRN3,00000000,DAP,Delivered At Place,R259,465898132,EDI/API,,"""""",,1.00000,230.00,57.50,4.00,4.00,0.00,0.00,-7.82310,230.00,29.40,Y,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,230.00,230.00,29.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,29.40,230.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176727,000120,ZSO,Standard,C,CN20,G1,0118000652,0118402397,0118000652,0092S47358WRT,,66A1,20231220,111751,2023-12-20 11:17:51,20231220,111751,2023-12-20 11:17:51,00000000,20231220,20231220,20240105,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20240105,00000000,,20231220,C,C,,C,,,,A,,ZSO,KZCOM,CNY,CNY,,0092S47358,蓄电池_MF_75D23L,7688390,0,EA,EA,EA,,000000,,G1,CJ,1,6850.32,6850.32,6850.32,0.00,0.00,0.00,,000012,66A1,WULDN4,00000000,DAP,Delivered At Place,D118,,EDI/API,,"""""",,1.00000,6850.32,285.43,24.00,24.00,0.00,0.00,-7.82310,6850.32,875.65,Y,24.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,6850.32,6850.32,875.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6850.32,875.65,6850.32,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176709,000410,ZSO,Standard,C,CN20,G1,0118000411,0118402883,0118000411,0986AF4595KZ8,,66A1,20231219,190714,2023-12-19 19:07:14,20231219,190714,2023-12-19 19:07:14,00000000,20231219,20231219,20231226,20231219,20231221,20231219,20231221,20231219,20231219,20231221,20231226,00000000,,20231219,C,C,,C,,,,A,,ZSO,SCN12,CNY,CNY,,0986AF4595,活性炭空调滤清器,,0,EA,EA,EA,,000000,,G2,B5,1,470.72,470.72,470.72,0.00,0.00,0.00,,000410,66A1,SZXRN4,00000000,DAP,Delivered At Place,D780,,BCP,,"""""",,1.00000,470.72,29.42,16.00,16.00,0.00,0.00,-7.78930,470.72,60.43,Y,16.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,470.72,470.72,60.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,470.72,60.43,470.72,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176702,000620,ZSO,Standard,C,CN20,G1,0118005858,0118404150,0118005858,0986T11490HDU,,66A1,20231219,165736,2023-12-19 16:57:36,20231219,165736,2023-12-19 16:57:36,20231220,20231219,20231219,20240105,20231227,20231229,20231219,20231221,20231219,20231227,20231229,20240105,00000000,,20231219,A,A,,A,,,,A,,ZSO,SCN11,CNY,CNY,,0986T11490,刹车片,,0,SET,SET,SET,,000000,,G3,CJ,1,100.00,100.00,100.00,0.00,0.00,0.00,,000620,66A1,BEIRN4,00000000,DAP,Delivered at Place,D495,,BCP,,ZM,,1.00000,100.00,100.00,1.00,0.00,0.00,0.00,-7.78930,100.00,12.84,Y,0.00,1.00,1.00,0.00,100.00,100.00,12.84,0.00,100.00,100.00,12.84,0.00,0.00,0.00,100.00,100.00,12.84,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,12.84,0.00,0.00,0.00,100.00,100.00,12.84,0.00,0.00,0.00,0.00,0.00,0.00,1,0,1,0,0,,2023-12-21 06:03:59,202312
2001176770,000380,ZSO,Standard,C,CN20,G1,0118004312,0118403471,0118004312,0986T11080HDU,,66A1,20231220,133136,2023-12-20 13:31:36,20231220,133152,2023-12-20 13:31:52,00000000,20231220,20231220,20231225,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231225,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T11080,前刹车片,BR-BO-BDTSCP|22,0,SET,SET,SET,,000000,,O4,QC,1,196.96,196.96,196.96,0.00,0.00,0.00,,000380,66A1,WUXRN3,00000000,DAP,Delivered At Place,R259,465897720,EDI/API,,"""""",,1.00000,196.96,98.48,2.00,2.00,0.00,0.00,-7.82310,196.96,25.18,Y,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,196.96,196.96,25.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.96,25.18,196.96,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176614,000110,ZSO,Standard,C,CN20,G1,0118000664,0118400692,0118000664,0986T10064KZ7,,66A1,20231219,135507,2023-12-19 13:55:07,20231219,135507,2023-12-19 13:55:07,00000000,20231219,20231219,20231222,20231219,20231221,20231219,20231221,20231219,20231219,20231221,20231222,00000000,,20231219,C,C,,C,,,,A,,ZSO,SCN13,CNY,CNY,,0986T10064,刹车片磨损指示标,,0,EA,EA,EA,,000000,,G2,CJ,1,510.00,510.00,510.00,0.00,0.00,0.00,,000110,66A1,HGHRN4,00000000,DAP,Delivered At Place,D495,,BCP,,"""""",,1.00000,510.00,17.00,30.00,30.00,0.00,0.00,-7.78930,510.00,65.47,Y,30.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,510.00,510.00,65.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,510.00,65.47,510.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176777,000660,ZSO,Standard,C,CN20,G1,0118004312,0118403460,0118004312,0986T11219HDU,,66A1,20231220,133159,2023-12-20 13:31:59,20231220,133227,2023-12-20 13:32:27,00000000,20231220,20231220,20231228,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231228,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T11219,前刹车片,BR-BO-BDTSCP|89,0,SET,SET,SET,,000000,,O4,QC,1,218.00,218.00,218.00,0.00,0.00,0.00,,000660,66A1,DNGRN4,00000000,DAP,Delivered At Place,R259,465898315,EDI/API,,"""""",,1.00000,218.00,109.00,2.00,2.00,0.00,0.00,-7.82310,218.00,27.87,Y,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,218.00,218.00,27.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218.00,27.87,218.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176670,000290,ZSO,Standard,C,CN20,G1,0118006073,0118404428,0118006073,0986AB1651HDU,,66A1,20231219,145223,2023-12-19 14:52:23,20231219,145223,2023-12-19 14:52:23,00000000,20231219,20231219,20231222,20231219,20231221,20231219,20231221,20231219,20231219,20231221,20231222,00000000,,20231219,C,C,,C,,,,A,,ZSO,SCN13,CNY,CNY,,0986AB1651,后刹车片,,0,SET,SET,SET,,000000,,G2,CJ,1,155.00,155.00,155.00,0.00,0.00,0.00,,000290,66A1,SHARN3,00000000,DAP,Delivered at Place,D118,,BCP,,"""""",,1.00000,155.00,155.00,1.00,1.00,0.00,0.00,-7.78930,155.00,19.90,Y,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,155.00,155.00,19.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,19.90,155.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176593,000010,ZSO,Standard,C,CN20,G1,0118003992,0118403327,0118003992,0986AF3278KZ7,,66A1,20231219,101409,2023-12-19 10:14:09,20231219,101409,2023-12-19 10:14:09,00000000,20231219,20231219,20231226,20231219,20231221,20231219,20231221,20231219,20231219,20231221,20231226,00000000,,20231219,C,C,,C,,,,A,,ZSO,SCN12,CNY,CNY,,0986AF3278,空气滤清器,,0,EA,EA,EA,,000000,,G3,CJ,1,304.20,304.20,304.20,0.00,0.00,0.00,,000010,66A1,QUZRN4,00000000,DAP,Delivered At Place,D554,,BCP,,"""""",,1.00000,304.20,25.35,12.00,12.00,0.00,0.00,-7.78930,304.20,39.05,Y,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,304.20,304.20,39.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.20,39.05,304.20,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
