CO_HK,CCO_NUMBER,CCO_ITEM,CCO_DATE,CSOLD_TO_PARTY,CCBF,CMATERIAL_NO,CSTATUS,CORDER_TYPE,IORDER_QTY,IDELIVERY_QTY,IBILLING_QTY,IPGI_QTY,IOPEN_DELIVERY_QTY,IBALANCE_QTY,IUNIT_PRICE,IAMOUNT,CSALES_UNIT,CSHIP_TO_PARTY,CLOCAL_CURRENCY,CREJECTION_REASON,CSALES_ORG,CDCHL,CDIVISION,CDELIVERY_CREATE_DATE,COVERALL_STATUS,CDELIVERY_STATUS,CBILLING_STATUS,CITEM_CATEGORY,CPLANT,CSALES_DISTRICT,CCUSTOMER_PO_NUMBER,CCUSTOMER_MATERIAL,CSHIPPING_POINT,CROUTE,CSALES_OFFICE,CORDER_REASON,CSHIPPING_CONDITION,CWBS_ELEMENT,CPRICE_LIST,INITIAL_REQUEST_DELIVERY_DATE,COrder_Downgraded_DATE,cOrder_delivery_block_in_header,LOADDATE
0x2C920AA140D0F420B07606C359B3C34D68269193,2001176693,000010,20231219,0118000652,001,0986T18008KZ7,A,ZSO,6480.000,0,0,0,0,6480,30.00,194400.00,NULL,0118402566,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL,PO231219140596721,88495927,66A1,WUHRN4,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0xE22EBDB19DE02BBC2B0DA18F9328AE3CA442E651,2001176676,000010,20231219,0118000652,001,0986T18008KZ7,A,ZSO,1296.000,0,0,0,0,1296,30.00,38880.00,NULL,0118402517,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL,PO231219140598137,88495927,66A1,TNARN4,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0xAC2BAA923FC9419CBAC7A0581588FCAD188B6590,2001176600,000010,20231219,0118000652,001,0986T18008KZ7,A,ZSO,864.000,0,0,0,0,864,30.00,25920.00,NULL,0118401123,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL,PO231218160598065,88495927,66A1,SHERN4,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0x714EAFD6B7326261A4FA030376C2A89F2AAA048B,2001176820,000010,20231220,0118003387,009,025801032181W,A,ZSO,200.000,0,0,0,0,200,110.00,22000.00,NULL,0118403169,CNY," ",CN20,G1,40,20231220,A,A," ",ZSO,66A1,NULL," "," ",66A1,DNGRN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
0x81CE7F55FC3C3F35E2791B4094EAAB328AB1CFE1,2001176595,000180,20231219,0118005018,010,0242240665EFU,B,ZSO,30.000,28,0,0,28,2,35.22,1056.60,NULL,0118403718,CNY," ",CN20,G1,40,20231219,B,B," ",ZSO,66A1,NULL," "," ",66A1,KMGRN4,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0x53A32F71387C7EFC99B786C621F883B902098156,2001176595,000290,20231219,0118005018,010,0241135520EFU,A,ZSO,100.000,0,0,0,0,100,19.34,1934.00,NULL,0118403718,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL," "," ",66A1,KMGRN4,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0x3B02B50EEA0A249CE889B1AC24EF94A4902928CC,2001176740,000030,20231220,0118000652,007,0092S47354WRT,A,ZSO,34.000,0,0,0,0,34,192.45,6543.30,NULL,0118400610,CNY," ",CN20,G1,40,20231220,A,A," ",ZSO,66A1,NULL,PO231220130598297,7688387,66A1,LHWDN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
0x44B83C10D9B268F9CB34B5F846DC978DE1EFA674,2001176663,000200,20231219,0118005822,008,0986AF3424KZ7,A,ZSO,24.000,0,0,0,0,24,23.00,552.00,NULL,0118404109,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL," "," ",66A1,SHARN3,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0xB84B3ABE127E1DEDA614F770BCBCFC8C82A72DA5,2001176663,000300,20231219,0118005822,011,3397014206KC0,A,ZSO,10.000,0,0,0,0,10,127.00,1270.00,NULL,0118404109,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL," "," ",66A1,SHARN3,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0x5A920A9AF85E85E1A1FF53699E5A1F5D559A7581,2001176663,000460,20231219,0118005822,008,0986AF3295KZ7,A,ZSO,24.000,0,0,0,0,24,23.48,563.52,NULL,0118404109,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL," "," ",66A1,SHARN3,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0xCC66E55B9B98143F08248EF0DAFA98C97C3B66F9,2001176663,000600,20231219,0118005822,008,0986AF4710KZ8,A,ZSO,32.000,0,0,0,0,32,39.40,1260.80,NULL,0118404109,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL," "," ",66A1,SHARN3,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0x74E934C617932BEE0D3BF4BB44EDD192BA6E0E0A,2001176663,000700,20231219,0118005822,008,0986AF0505HTD,A,ZSO,48.000,0,0,0,0,48,11.54,553.92,NULL,0118404109,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL," "," ",66A1,SHARN3,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0xB2941B214B17C00F7D5C1195CCA705F8A7205B5D,2001176663,000730,20231219,0118005822,008,0986AF3322KZ7,A,ZSO,24.000,0,0,0,0,24,20.16,483.84,NULL,0118404109,CNY," ",CN20,G1,40,20231219,A,A," ",ZSO,66A1,NULL," "," ",66A1,SHARN3,SCN," ",70,00000000,NULL,20231219,00000000," ",2023-12-21 00:24:22.8400000
0x8B637CC9CB23BEF80C26E1B2FDEE1D510353E434,2001176726,000040,20231220,0118000652,007,0092S67921KZ8,A,ZSO,45.000,0,0,0,0,45,949.85,42743.25,NULL,0118400657,CNY," ",CN20,G1,40,20231220,A,A," ",ZSO,66A1,NULL,PO231220110597214,133550,66A1,SHXDN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
0xD3173F99BB0F8434B582303659EDD3C62A0AB700,2001176726,000080,20231220,0118000652,007,0092S67922KZ8,A,ZSO,28.000,0,0,0,0,28,1134.43,31764.04,NULL,0118400657,CNY," ",CN20,G1,40,20231220,A,A," ",ZSO,66A1,NULL,PO231220110597214,133551,66A1,SHXDN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
0x7B40F43D786D0816BE515C434772DB755AC0C261,2001176726,000130,20231220,0118000652,007,0092S67918KZ8,B,ZSO,11.000,8,0,0,8,3,619.74,6817.14,NULL,0118400657,CNY," ",CN20,G1,40,20231220,B,B," ",ZSO,66A1,NULL,PO231220110597214,133547,66A1,SHXDN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
0xF477592351182FD9B833B5BD8613FB0F944949A7,2001176726,000140,20231220,0118000652,007,0092S47365WRT,A,ZSO,10.000,0,0,0,0,10,359.28,3592.80,NULL,0118400657,CNY," ",CN20,G1,40,20231220,A,A," ",ZSO,66A1,NULL,PO231220110597214,8498658,66A1,SHXDN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
0xA5D1CC00C40E951CFEBC2333E5A8C5C51B746168,2001176839,000010,20231220,0118000652,001,0986AB8999KZ7,A,ZSO,1296.000,0,0,0,0,1296,25.12,32555.52,NULL,0118402984,CNY," ",CN20,G1,40,20231220,A,A," ",ZSO,66A1,NULL,PO231220160598330,016056,66A1,KHNRN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
0x333FF38D416784013FB038B8FD310B14C94C5835,2001176743,000050,20231220,0118000652,007,0092S47365WRT,A,ZSO,10.000,0,0,0,0,10,359.28,3592.80,NULL,0118403147,CNY," ",CN20,G1,40,20231220,A,A," ",ZSO,66A1,NULL,PO231220130598798,8498658,66A1,CANDN4,SCN," ",70,00000000,NULL,20231220,00000000," ",2023-12-21 00:24:22.8400000
