a,,,,,,,,(No column name),corder_type
2001173929000010 ,#N/A,,,,,,2001173932000010 ,2001173932000010 ,ZSO
2001173930000010 ,#N/A,,,,,,2001173937000110 ,2001173937000110 ,ZSO
2001173931000010 ,#N/A,,,,,,2001173937000120 ,2001173937000120 ,ZSO
2001173931000020 ,#N/A,,,,,,2001173937000130 ,2001173937000130 ,ZSO
2001173931000030 ,#N/A,,,,,,2001173937000140 ,2001173937000140 ,ZSO
2001173931000040 ,#N/A,,,,,,2001173939000010 ,2001173939000010 ,ZSO
2001173931000050 ,#N/A,,,,,,2001173939000050 ,2001173939000050 ,ZSO
2001173931000060 ,#N/A,,,,,,2001173941000010 ,2001173941000010 ,ZSO
2001173931000070 ,#N/A,,,,,,2001173944000490 ,2001173944000490 ,ZSO
2001173931000080 ,#N/A,,,,,,2001173944001350 ,2001173944001350 ,ZSO
2001173931000090 ,#N/A,,,,,,2001173945000390 ,2001173945000390 ,ZSO
2001173931000100 ,#N/A,,,,,,2001173946000050 ,2001173946000050 ,ZSO
2001173931000110 ,#N/A,,,,,,2001173946000060 ,2001173946000060 ,ZSO
2001173932000010 ,2001173932000010 ,,,,,,2001173946000100 ,2001173946000100 ,ZSO
2001173933000010 ,#N/A,,,,,,2001173948000010 ,2001173948000010 ,ZSO
2001173934000010 ,#N/A,,,,,,2001173948000020 ,2001173948000020 ,ZSO
2001173935000010 ,#N/A,,,,,,2001173948000030 ,2001173948000030 ,ZSO
2001173936000010 ,#N/A,,,,,,2001173948000040 ,2001173948000040 ,ZSO
2001173937000010 ,#N/A,,,,,,2001173950000010 ,2001173950000010 ,ZSO
2001173937000020 ,#N/A,,,,,,2001173951000020 ,2001173951000020 ,ZSO
2001173937000030 ,#N/A,,,,,,2001173951000030 ,2001173951000030 ,ZSO
2001173937000040 ,#N/A,,,,,,2001173951000050 ,2001173951000050 ,ZSO
2001173937000050 ,#N/A,,,,,,2001173951000060 ,2001173951000060 ,ZSO
2001173937000060 ,#N/A,,,,,,2001173951000090 ,2001173951000090 ,ZSO
2001173937000070 ,#N/A,,,,,,2001173951000100 ,2001173951000100 ,ZSO
2001173937000080 ,#N/A,,,,,,2001173954000080 ,2001173954000080 ,ZSO
2001173937000090 ,#N/A,,,,,,2001173954000140 ,2001173954000140 ,ZSO
2001173937000100 ,#N/A,,,,,,2001173954000210 ,2001173954000210 ,ZSO
2001173937000110 ,2001173937000110 ,,,,,,2001173954000360 ,2001173954000360 ,ZSO
2001173937000120 ,2001173937000120 ,,,,,,2001173954000470 ,2001173954000470 ,ZSO
2001173937000130 ,2001173937000130 ,,,,,,2001173954000540 ,2001173954000540 ,ZSO
2001173937000140 ,2001173937000140 ,,,,,,2001173954000590 ,2001173954000590 ,ZSO
2001173937000150 ,#N/A,,,,,,2001173954000840 ,2001173954000840 ,ZSO
2001173937000160 ,#N/A,,,,,,2001173954000990 ,2001173954000990 ,ZSO
2001173937000170 ,#N/A,,,,,,2001173956000460 ,2001173956000460 ,ZSO
2001173937000180 ,#N/A,,,,,,2001173956000670 ,2001173956000670 ,ZSO
2001173937000190 ,#N/A,,,,,,2001173956000880 ,2001173956000880 ,ZSO
2001173937000200 ,#N/A,,,,,,2001173956000900 ,2001173956000900 ,ZSO
2001173937000210 ,#N/A,,,,,,2001173956001030 ,2001173956001030 ,ZSO
2001173937000220 ,#N/A,,,,,,2001173956001310 ,2001173956001310 ,ZSO
2001173937000230 ,#N/A,,,,,,2001173956001330 ,2001173956001330 ,ZSO
2001173937000240 ,#N/A,,,,,,2001173956001450 ,2001173956001450 ,ZSO
2001173937000250 ,#N/A,,,,,,2001173956001600 ,2001173956001600 ,ZSO
2001173937000260 ,#N/A,,,,,,2001173957000020 ,2001173957000020 ,ZSO
2001173937000270 ,#N/A,,,,,,2001173957000030 ,2001173957000030 ,ZSO
2001173937000280 ,#N/A,,,,,,2001173957000040 ,2001173957000040 ,ZSO
2001173937000290 ,#N/A,,,,,,2001173957000050 ,2001173957000050 ,ZSO
2001173937000300 ,#N/A,,,,,,2001173957000060 ,2001173957000060 ,ZSO
2001173937000310 ,#N/A,,,,,,2001173957000070 ,2001173957000070 ,ZSO
2001173937000320 ,#N/A,,,,,,2001173957000080 ,2001173957000080 ,ZSO
