city_code_external,city_name_local_language,city_name_English,province_code,province_name_local_language,province_name_English,ISO_country_code,country_name_local_language,country_name_English
110000000000,北京市,,110000000000,北京市,,CN,中国,China
120000000000,天津市,,120000000000,天津市,,CN,中国,China
130100000000,石家庄市,,130000000000,河北省,,CN,中国,China
130200000000,唐山市,,130000000000,河北省,,CN,中国,China
130300000000,秦皇岛市,,130000000000,河北省,,CN,中国,China
130400000000,邯郸市,,130000000000,河北省,,CN,中国,China
130500000000,邢台市,,130000000000,河北省,,CN,中国,China
130600000000,保定市,,130000000000,河北省,,CN,中国,China
130700000000,张家口市,,130000000000,河北省,,CN,中国,China
130800000000,承德市,,130000000000,河北省,,CN,中国,China
130900000000,沧州市,,130000000000,河北省,,CN,中国,China
131000000000,廊坊市,,130000000000,河北省,,CN,中国,China
131100000000,衡水市,,130000000000,河北省,,CN,中国,China
133100000000,雄安新区,,130000000000,河北省,,CN,中国,China
140100000000,太原市,,140000000000,山西省,,CN,中国,China
140200000000,大同市,,140000000000,山西省,,CN,中国,China
140300000000,阳泉市,,140000000000,山西省,,CN,中国,China
140400000000,长治市,,140000000000,山西省,,CN,中国,China
140500000000,晋城市,,140000000000,山西省,,CN,中国,China
140600000000,朔州市,,140000000000,山西省,,CN,中国,China
140700000000,晋中市,,140000000000,山西省,,CN,中国,China
140800000000,运城市,,140000000000,山西省,,CN,中国,China
140900000000,忻州市,,140000000000,山西省,,CN,中国,China
141000000000,临汾市,,140000000000,山西省,,CN,中国,China
141100000000,吕梁市,,140000000000,山西省,,CN,中国,China
150100000000,呼和浩特市,,150000000000,内蒙古自治区,,CN,中国,China
150200000000,包头市,,150000000000,内蒙古自治区,,CN,中国,China
150300000000,乌海市,,150000000000,内蒙古自治区,,CN,中国,China
150400000000,赤峰市,,150000000000,内蒙古自治区,,CN,中国,China
150500000000,通辽市,,150000000000,内蒙古自治区,,CN,中国,China
150600000000,鄂尔多斯市,,150000000000,内蒙古自治区,,CN,中国,China
150700000000,呼伦贝尔市,,150000000000,内蒙古自治区,,CN,中国,China
150800000000,巴彦淖尔市,,150000000000,内蒙古自治区,,CN,中国,China
150900000000,乌兰察布市,,150000000000,内蒙古自治区,,CN,中国,China
152200000000,兴安盟,,150000000000,内蒙古自治区,,CN,中国,China
152500000000,锡林郭勒盟,,150000000000,内蒙古自治区,,CN,中国,China
152900000000,阿拉善盟,,150000000000,内蒙古自治区,,CN,中国,China
210100000000,沈阳市,,210000000000,辽宁省,,CN,中国,China
210200000000,大连市,,210000000000,辽宁省,,CN,中国,China
210300000000,鞍山市,,210000000000,辽宁省,,CN,中国,China
210400000000,抚顺市,,210000000000,辽宁省,,CN,中国,China
210500000000,本溪市,,210000000000,辽宁省,,CN,中国,China
210600000000,丹东市,,210000000000,辽宁省,,CN,中国,China
210700000000,锦州市,,210000000000,辽宁省,,CN,中国,China
