TA_key,from_place,from_date,to_place,to_date,transportation_tools,etl_load_time
TRAVEL-1116897,SHA - 上海 - SHANGHAI , 2023-05-07 , SIN - 新加坡 - SINGAPORE - SG - 新加坡 - SINGAPORE , 2023-05-07 , Plane ,2023-11-07 09:49:06
TRAVEL-1116897,SIN - 新加坡 - SINGAPORE - SG - 新加坡 - SINGAPORE , 2023-05-13 , SHA - 上海 - SHANGHAI , 2023-05-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1114222,SZV - 苏州 - SUZHOU , 2023-03-29 , CN0304 - 中山 - ZHONGSHAN , 2023-03-29 , Plane ,2023-11-07 09:49:06
TRAVEL-1114222,N0304 - 中山 - ZHONGSHAN , 2023-04-01 , CSZV - 苏州 - SUZHOU , 2023-04-01 , Plane ,2023-11-07 09:49:06
TRAVEL-1114357,NGB - 宁波 - NINGBO , 2023-03-22 , HGH - 杭州 - HANGZHOU , 2023-03-22 , Train ,2023-11-07 09:49:06
TRAVEL-1114357,HGH - 杭州 - HANGZHOU , 2023-03-25 , NGB - 宁波 - NINGBO , 2023-03-25 , Train ,2023-11-07 09:49:06
TRAVEL-1116191,SHA - 上海 - SHANGHAI , 2023-05-07 , SIN - 新加坡 - SINGAPORE - SG - 新加坡 - SINGAPORE , 2023-05-07 , Plane ,2023-11-07 09:49:06
TRAVEL-1116191,SG - 新加坡 - SINGAPORE , 2023-05-13 , SHA - 上海 - SHANGHAI , 2023-05-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1116407,SHA - 上海 - SHANGHAI , 2023-04-10 , CSX - 长沙 - CHANGSHA , 2023-04-10 , Plane ,2023-11-07 09:49:06
TRAVEL-1116407,CSX - 长沙 - CHANGSHA , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1115129,SHA - 上海 - SHANGHAI , 2023-04-01 , PEK - 北京 - BEIJING , 2023-04-01 , Plane ,2023-11-07 09:49:06
TRAVEL-1115129,PEK - 北京 - BEIJING , 2023-04-02 , SHA - 上海 - SHANGHAI , 2023-04-02 , Plane ,2023-11-07 09:49:06
TRAVEL-1114990,URC - 乌鲁木齐 - URUMQI , 2023-03-30 , NKG - 南京 - NANJING , 2023-03-30 , Plane ,2023-11-07 09:49:06
TRAVEL-1114990,NKG - 南京 - NANJING , 2023-04-01 , CKG - 重庆 - CHONGQING , 2023-03-31 , Plane ,2023-11-07 09:49:06
TRAVEL-1115526,SHA - 上海 - SHANGHAI , 2023-03-30 , WUH - 武汉 - WUHAN , 2023-03-30 , Plane ,2023-11-07 09:49:06
TRAVEL-1115526,SHA - 上海 - SHANGHAI , 2023-03-31 , WUH - 武汉 - WUHAN , 2023-03-31 , Plane ,2023-11-07 09:49:06
TRAVEL-1116173,SHE - 沈阳 - SHENYANG , 2023-03-28 , CGQ - 长春 - CHANGCHUN , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1116173,CGQ - 长春 - CHANGCHUN , 2023-03-29 , HRB - 哈尔滨 - HAERBIN , 2023-03-29 , Train ,2023-11-07 09:49:06
TRAVEL-1116173,HRB - 哈尔滨 - HAERBIN , 2023-03-31 , SHE - 沈阳 - SHENYANG , 2023-03-31 , Train ,2023-11-07 09:49:06
TRAVEL-1116362,SHA - 上海 - SHANGHAI , 2023-04-03 , CSX - 长沙 - CHANGSHA , 2023-04-03 , Plane ,2023-11-07 09:49:06
TRAVEL-1116362,CSX - 长沙 - CHANGSHA , 2023-04-03 , SHA - 上海 - SHANGHAI , 2023-04-03 , Plane ,2023-11-07 09:49:06
TRAVEL-1116397,CGO - 郑州 - ZHENGZHOU , 2023-04-06 , SHA - 上海 - SHANGHAI , 2023-04-06 , Plane ,2023-11-07 09:49:06
TRAVEL-1116397,SHA - 上海 - SHANGHAI , 2023-04-08 , CGO - 郑州 - ZHENGZHOU , 2023-04-08 , Plane ,2023-11-07 09:49:06
